complaint,sentiment,category
Appreciate the fast response to the complaint about Nehru Street road.,0,Traffic Light Issue
Traffic light at Gandhi Nagar is broken for 2 weeks. Very dangerous!,2,Traffic Light Issue
No streetlights on Gandhi Nagar road. Very unsafe at night!,2,Traffic Light Issue
Traffic signal at Brigade Road is under maintenance.,1,Flooding
The road in Brigade Road is full of potholes. Government please fix!,2,Road Damage
The road in SV Road is full of potholes. Government please fix!,2,Pothole
Garbage dumped on Connaught Place road. Municipality is not cleaning!,2,Sign Missing/Damaged
The road in Anna Salai has been repaired. Excellent work by the municipality!,0,Traffic Light Issue
the road in brigade road has been repaired. excellent work by the municipality!,0,Other
Traffic lights at Anna Salai junction are working perfectly now. Great improvement!,0,Road Damage
Traffic light at Gandhi Nagar is broken for 2 weeks. Very dangerous!,2,Pothole
Road damage near Rajiv Chowk hospital is causing problems for ambulances!,2,Flooding
Huge pothole on SV Road road causing accidents. No action taken!,2,Pothole
Severe flooding on Old Airport Road road every time it rains. Pathetic!,2,Sign Missing/Damaged
The road in Old Airport Road is full of potholes. Government please fix!,2,Pothole
No streetlights on Anna Salai road. Very unsafe at night!,2,Sign Missing/Damaged
Garbage dumped on MG Road road. Municipality is not cleaning!,2,Flooding
new traffic rules implemented at connaught place junction from today.,1,Traffic Light Issue
road damage near rajiv chowk hospital is causing problems for ambulances!,2,Traffic Light Issue
The road in Linking Road is full of potholes. Government please fix!,2,Flooding
Huge pothole on MG Road road causing accidents. No action taken!,2,Sign Missing/Damaged
Garbage dumped on Old Airport Road road. Municipality is not cleaning!,2,Road Damage
The road in Old Airport Road has been repaired. Excellent work by the municipality!,0,Sign Missing/Damaged
No streetlights on Linking Road road. Very unsafe at night!,2,Flooding
Severe flooding on MG Road road every time it rains. Pathetic!,2,Pothole
Road sign missing near Anna Salai school zone. Children at risk!,2,Traffic Light Issue
New traffic rules implemented at Anna Salai junction from today.,1,Illegal Parking
Traffic lights at Gandhi Nagar junction are working perfectly now. Great improvement!,0,Sign Missing/Damaged
Garbage dumped on Old Airport Road road. Municipality is not cleaning!,2,Sign Missing/Damaged
The municipality has announced repairs for SV Road road next week.,1,Traffic Light Issue
Garbage dumped on Brigade Road road. Municipality is not cleaning!,2,Traffic Light Issue
Traffic signal at Linking Road is under maintenance.,1,Flooding
traffic lights at gandhi nagar junction are working perfectly now. great improvement!,0,Traffic Light Issue
Traffic signal at Brigade Road is under maintenance.,1,Other
Huge pothole on Anna Salai road causing accidents. No action taken!,2,Flooding
No streetlights on Gandhi Nagar road. Very unsafe at night!,2,Pothole
New traffic rules implemented at Connaught Place junction from today.,1,Pothole
New road signs installed in Gandhi Nagar. Very helpful for drivers.,0,Traffic Light Issue
Road closure scheduled for Anna Salai bypass for bridge inspection.,1,Traffic Light Issue
Road sign missing near Brigade Road school zone. Children at risk!,2,Flooding
Speed limit has been changed to 40 kmph near Old Airport Road.,1,Flooding
No streetlights on MG Road road. Very unsafe at night!,2,Flooding
Road closure scheduled for Nehru Street bypass for bridge inspection.,1,Flooding
Road widening project at Old Airport Road is going well. Good job!,0,Other
Appreciate the fast response to the complaint about Gandhi Nagar road.,0,Other
Huge pothole on Gandhi Nagar road causing accidents. No action taken!,2,Pothole
Garbage dumped on Old Airport Road road. Municipality is not cleaning!,2,Sign Missing/Damaged
Speed limit has been changed to 40 kmph near SV Road.,1,Other
The new road markings on Rajiv Chowk street are very clear.,0,Road Damage
The municipality has announced repairs for Old Airport Road road next week.,1,Illegal Parking
Road sign missing near Linking Road school zone. Children at risk!,2,Road Damage
Road diversion in effect near Gandhi Nagar due to pipeline work.,1,Road Damage
Appreciate the fast response to the complaint about Brigade Road road.,0,Sign Missing/Damaged
Speed limit has been changed to 40 kmph near Nehru Street.,1,Road Damage
The municipality has announced repairs for Old Airport Road road next week.,1,Pothole
Garbage dumped on Connaught Place road. Municipality is not cleaning!,2,Road Damage
Appreciate the fast response to the complaint about Brigade Road road.,0,Traffic Light Issue
the new road markings on rajiv chowk street are very clear.,0,Traffic Light Issue
road closure scheduled for nehru street bypass for bridge inspection.,1,Noise Pollution
Road damage near Connaught Place hospital is causing problems for ambulances!,2,Traffic Light Issue
Garbage dumped on MG Road road. Municipality is not cleaning!,2,Road Damage
Road sign missing near Nehru Street school zone. Children at risk!,2,Traffic Light Issue
Traffic lights at SV Road junction are working perfectly now. Great improvement!,0,Sign Missing/Damaged
Street lighting improved on Gandhi Nagar road. Feeling safer now.,0,Other
new traffic rules implemented at connaught place junction from today.,1,Flooding
Severe flooding on Gandhi Nagar road every time it rains. Pathetic!,2,Road Damage
Road sign missing near Anna Salai school zone. Children at risk!,2,Sign Missing/Damaged
traffic chaos at connaught place due to broken signal. needs urgent fix!,2,Sign Missing/Damaged
Speed limit has been changed to 40 kmph near Anna Salai.,1,Noise Pollution
Severe flooding on Connaught Place road every time it rains. Pathetic!,2,Pothole
Severe flooding on Brigade Road road every time it rains. Pathetic!,2,Road Damage
new traffic rules implemented at gandhi nagar junction from today.,1,Flooding
The road in Old Airport Road has been repaired. Excellent work by the municipality!,0,Traffic Light Issue
Traffic light at Rajiv Chowk is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
The road in Linking Road has been repaired. Excellent work by the municipality!,0,Traffic Light Issue
Garbage dumped on Old Airport Road road. Municipality is not cleaning!,2,Road Damage
the municipality has announced repairs for gandhi nagar road next week.,1,Noise Pollution
Road sign missing near Nehru Street school zone. Children at risk!,2,Road Damage
The new road markings on Anna Salai street are very clear.,0,Traffic Light Issue
the road on mg road is completely damaged. immediate repair needed!,2,Flooding
Road damage near SV Road hospital is causing problems for ambulances!,2,Traffic Light Issue
The municipality has announced repairs for Connaught Place road next week.,1,Pothole
No streetlights on Linking Road road. Very unsafe at night!,2,Traffic Light Issue
There is construction work happening on SV Road road.,1,Flooding
The road in Connaught Place is full of potholes. Government please fix!,2,Pothole
Huge pothole on MG Road road causing accidents. No action taken!,2,Sign Missing/Damaged
Speed limit has been changed to 40 kmph near Anna Salai.,1,Illegal Parking
road damage near nehru street hospital is causing problems for ambulances!,2,Flooding
Street lighting improved on Nehru Street road. Feeling safer now.,0,Road Damage
Huge pothole on Gandhi Nagar road causing accidents. No action taken!,2,Pothole
Road damage near MG Road hospital is causing problems for ambulances!,2,Traffic Light Issue
Road closure scheduled for SV Road bypass for bridge inspection.,1,Pothole
Traffic light at Rajiv Chowk is broken for 2 weeks. Very dangerous!,2,Flooding
Speed limit has been changed to 40 kmph near MG Road.,1,Road Damage
The pothole on Connaught Place road was fixed quickly. Thank you!,0,Traffic Light Issue
No streetlights on Anna Salai road. Very unsafe at night!,2,Road Damage
huge pothole on rajiv chowk road causing accidents. no action taken!,2,Sign Missing/Damaged
Traffic chaos at SV Road due to broken signal. Needs urgent fix!,2,Traffic Light Issue
Road closure scheduled for Nehru Street bypass for bridge inspection.,1,Pothole
The road in Anna Salai is full of potholes. Government please fix!,2,Sign Missing/Damaged
The road in Linking Road has been repaired. Excellent work by the municipality!,0,Road Damage
Road widening project at Old Airport Road is going well. Good job!,0,Other
Traffic signal at Connaught Place is under maintenance.,1,Traffic Light Issue
The road on Old Airport Road is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
the pothole on brigade road road was fixed quickly. thank you!,0,Sign Missing/Damaged
Huge pothole on Rajiv Chowk road causing accidents. No action taken!,2,Flooding
Traffic signal at Rajiv Chowk is under maintenance.,1,Flooding
New traffic rules implemented at Rajiv Chowk junction from today.,1,Traffic Light Issue
The new road markings on MG Road street are very clear.,0,Road Damage
Street lighting improved on Connaught Place road. Feeling safer now.,0,Road Damage
Traffic chaos at Old Airport Road due to broken signal. Needs urgent fix!,2,Traffic Light Issue
The pothole on Rajiv Chowk road was fixed quickly. Thank you!,0,Other
Severe flooding on SV Road road every time it rains. Pathetic!,2,Traffic Light Issue
Road sign missing near Linking Road school zone. Children at risk!,2,Flooding
The road on Linking Road is completely damaged. Immediate repair needed!,2,Traffic Light Issue
Huge pothole on Nehru Street road causing accidents. No action taken!,2,Sign Missing/Damaged
No streetlights on Rajiv Chowk road. Very unsafe at night!,2,Traffic Light Issue
Severe flooding on Linking Road road every time it rains. Pathetic!,2,Sign Missing/Damaged
Road widening project at SV Road is going well. Good job!,0,Road Damage
traffic chaos at mg road due to broken signal. needs urgent fix!,2,Flooding
Road diversion in effect near Old Airport Road due to pipeline work.,1,Illegal Parking
Road sign missing near Old Airport Road school zone. Children at risk!,2,Pothole
Road widening project at Connaught Place is going well. Good job!,0,Traffic Light Issue
The road in Nehru Street has been repaired. Excellent work by the municipality!,0,Traffic Light Issue
No streetlights on Connaught Place road. Very unsafe at night!,2,Road Damage
New road signs installed in Connaught Place. Very helpful for drivers.,0,Traffic Light Issue
Road sign missing near Rajiv Chowk school zone. Children at risk!,2,Road Damage
Road widening project at Linking Road is going well. Good job!,0,Road Damage
No streetlights on Gandhi Nagar road. Very unsafe at night!,2,Pothole
The new road markings on Brigade Road street are very clear.,0,Other
The new road markings on Anna Salai street are very clear.,0,Road Damage
Huge pothole on Anna Salai road causing accidents. No action taken!,2,Flooding
The pothole on Connaught Place road was fixed quickly. Thank you!,0,Road Damage
Garbage dumped on Old Airport Road road. Municipality is not cleaning!,2,Pothole
The new road markings on Gandhi Nagar street are very clear.,0,Other
Traffic light at Old Airport Road is broken for 2 weeks. Very dangerous!,2,Road Damage
Traffic light at Old Airport Road is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
the road on nehru street is completely damaged. immediate repair needed!,2,Pothole
